scene_index,scene_id,family,input,provenance,sha256,oracle,audit_status
0,v2_r_training_00000,sersic,observed,frozen_blended_observation,aadce9f0580ac053b49745e1f3ea7ee07d3f2b91f60cfe109c3ceb8013cedbb2,False,PASS
0,v2_r_training_00000,sersic,requested_center_xy,frozen_requested_coordinate_prompt,07910c034e3df6b429058ef4fc934265b0c30ba37e2e02e039f8150c78d59e20,False,PASS
0,v2_r_training_00000,sersic,companion_center_xy,frozen_task_coordinate_contract,83699c97376ea557d2c3dde428472bcde0a33f5ee1ed9ac02fdd9ff299ad253d,False,PASS
0,v2_r_training_00000,sersic,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
0,v2_r_training_00000,sersic,noise_sigma,declared_noise_convention,d26e2a37c04ae657a63471ff5c4ce1ec5f8bc0a383536d052b05a441acda8307,False,PASS
0,v2_r_training_00000,sersic,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
0,v2_r_training_00000,sersic,structural_family_and_bounds,frozen_level_4_or_5_support,0368b80bf97733fdb79396fe42307b5850da983ebfc7e2b1f8dbe96ceb361ac9,False,PASS
0,v2_r_training_00000,sersic,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,90c453ca704e91c6f815a003b5023293822e7e36aa91ce87b8e4f0750fb0c1b2,False,PASS
0,v2_r_training_00000,bulge_disk,observed,frozen_blended_observation,aadce9f0580ac053b49745e1f3ea7ee07d3f2b91f60cfe109c3ceb8013cedbb2,False,PASS
0,v2_r_training_00000,bulge_disk,requested_center_xy,frozen_requested_coordinate_prompt,07910c034e3df6b429058ef4fc934265b0c30ba37e2e02e039f8150c78d59e20,False,PASS
0,v2_r_training_00000,bulge_disk,companion_center_xy,frozen_task_coordinate_contract,83699c97376ea557d2c3dde428472bcde0a33f5ee1ed9ac02fdd9ff299ad253d,False,PASS
0,v2_r_training_00000,bulge_disk,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
0,v2_r_training_00000,bulge_disk,noise_sigma,declared_noise_convention,d26e2a37c04ae657a63471ff5c4ce1ec5f8bc0a383536d052b05a441acda8307,False,PASS
0,v2_r_training_00000,bulge_disk,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
0,v2_r_training_00000,bulge_disk,structural_family_and_bounds,frozen_level_4_or_5_support,352c7cea179dd13af4746c708edba0981aba90562608c6b15b5f318cc5597257,False,PASS
0,v2_r_training_00000,bulge_disk,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,90c453ca704e91c6f815a003b5023293822e7e36aa91ce87b8e4f0750fb0c1b2,False,PASS
3,v2_r_training_00003,sersic,observed,frozen_blended_observation,948edb37d09b7cff6dddc38a3addf9adea94efde8187edf05bda173d9a8141aa,False,PASS
3,v2_r_training_00003,sersic,requested_center_xy,frozen_requested_coordinate_prompt,7d315937727f236007ed856148f41fbdbeb23ba88619f5c87734a963b620942f,False,PASS
3,v2_r_training_00003,sersic,companion_center_xy,frozen_task_coordinate_contract,3adeb4f47843f96c78597c70d5874babdaa7f1cc730c5fd9fdc1be546f24e9bc,False,PASS
3,v2_r_training_00003,sersic,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
3,v2_r_training_00003,sersic,noise_sigma,declared_noise_convention,a5af184e5c78a17c9d842c2be7fa560d1b2aaed7936bfec9b9a9489b73d3c3ea,False,PASS
3,v2_r_training_00003,sersic,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
3,v2_r_training_00003,sersic,structural_family_and_bounds,frozen_level_4_or_5_support,0368b80bf97733fdb79396fe42307b5850da983ebfc7e2b1f8dbe96ceb361ac9,False,PASS
3,v2_r_training_00003,sersic,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,55b80548c22024e035b650e9bb29a41b41cc7933bbe50c9bcab8696adb872205,False,PASS
3,v2_r_training_00003,bulge_disk,observed,frozen_blended_observation,948edb37d09b7cff6dddc38a3addf9adea94efde8187edf05bda173d9a8141aa,False,PASS
3,v2_r_training_00003,bulge_disk,requested_center_xy,frozen_requested_coordinate_prompt,7d315937727f236007ed856148f41fbdbeb23ba88619f5c87734a963b620942f,False,PASS
3,v2_r_training_00003,bulge_disk,companion_center_xy,frozen_task_coordinate_contract,3adeb4f47843f96c78597c70d5874babdaa7f1cc730c5fd9fdc1be546f24e9bc,False,PASS
3,v2_r_training_00003,bulge_disk,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
3,v2_r_training_00003,bulge_disk,noise_sigma,declared_noise_convention,a5af184e5c78a17c9d842c2be7fa560d1b2aaed7936bfec9b9a9489b73d3c3ea,False,PASS
3,v2_r_training_00003,bulge_disk,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
3,v2_r_training_00003,bulge_disk,structural_family_and_bounds,frozen_level_4_or_5_support,352c7cea179dd13af4746c708edba0981aba90562608c6b15b5f318cc5597257,False,PASS
3,v2_r_training_00003,bulge_disk,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,55b80548c22024e035b650e9bb29a41b41cc7933bbe50c9bcab8696adb872205,False,PASS
5,v2_r_training_00005,sersic,observed,frozen_blended_observation,f2eb085fee166cc18523b7165dedc6af664644fe9d4678224fd0a48c597109cd,False,PASS
5,v2_r_training_00005,sersic,requested_center_xy,frozen_requested_coordinate_prompt,fa70843d42819f7374ca4135c520be741fae1633a1b2589d1fd7f9f86ec43287,False,PASS
5,v2_r_training_00005,sersic,companion_center_xy,frozen_task_coordinate_contract,b28c1bb78ffbd9f9f023dbdfa9dfc8309337d36bf96dc06ef680806774906c43,False,PASS
5,v2_r_training_00005,sersic,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
5,v2_r_training_00005,sersic,noise_sigma,declared_noise_convention,b2564d1060e5ce0bffa6937a051261cf7b3dd5970a0bae31403fc386e87fd5c6,False,PASS
5,v2_r_training_00005,sersic,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
5,v2_r_training_00005,sersic,structural_family_and_bounds,frozen_level_4_or_5_support,0368b80bf97733fdb79396fe42307b5850da983ebfc7e2b1f8dbe96ceb361ac9,False,PASS
5,v2_r_training_00005,sersic,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,b7f72563b307103cc617cc9273003892e6b8d7d24a5f4d4c8a99c34f895f3e87,False,PASS
5,v2_r_training_00005,bulge_disk,observed,frozen_blended_observation,f2eb085fee166cc18523b7165dedc6af664644fe9d4678224fd0a48c597109cd,False,PASS
5,v2_r_training_00005,bulge_disk,requested_center_xy,frozen_requested_coordinate_prompt,fa70843d42819f7374ca4135c520be741fae1633a1b2589d1fd7f9f86ec43287,False,PASS
5,v2_r_training_00005,bulge_disk,companion_center_xy,frozen_task_coordinate_contract,b28c1bb78ffbd9f9f023dbdfa9dfc8309337d36bf96dc06ef680806774906c43,False,PASS
5,v2_r_training_00005,bulge_disk,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
5,v2_r_training_00005,bulge_disk,noise_sigma,declared_noise_convention,b2564d1060e5ce0bffa6937a051261cf7b3dd5970a0bae31403fc386e87fd5c6,False,PASS
5,v2_r_training_00005,bulge_disk,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
5,v2_r_training_00005,bulge_disk,structural_family_and_bounds,frozen_level_4_or_5_support,352c7cea179dd13af4746c708edba0981aba90562608c6b15b5f318cc5597257,False,PASS
5,v2_r_training_00005,bulge_disk,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,b7f72563b307103cc617cc9273003892e6b8d7d24a5f4d4c8a99c34f895f3e87,False,PASS
6,v2_r_training_00006,sersic,observed,frozen_blended_observation,5caa5e8bd8cdd812487076f5367b5946a8717e72faa10bb7f3fdf98e136f879d,False,PASS
6,v2_r_training_00006,sersic,requested_center_xy,frozen_requested_coordinate_prompt,1626d58defc84a42ddcf609f6d9ebd279306933549daf74247cf5d22a0a127f8,False,PASS
6,v2_r_training_00006,sersic,companion_center_xy,frozen_task_coordinate_contract,914fccdcb11aec60391476be48217fcf61f15f125de318fddb94b8455d46a55a,False,PASS
6,v2_r_training_00006,sersic,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
6,v2_r_training_00006,sersic,noise_sigma,declared_noise_convention,1748829d9c5b5ebcca624b401787458f6cc974535b4ebd25cd323c883a48e856,False,PASS
6,v2_r_training_00006,sersic,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
6,v2_r_training_00006,sersic,structural_family_and_bounds,frozen_level_4_or_5_support,0368b80bf97733fdb79396fe42307b5850da983ebfc7e2b1f8dbe96ceb361ac9,False,PASS
6,v2_r_training_00006,sersic,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,a215cf29ceaf1f1a2570af4bfa77cf6a6c4af709f8bdd17b15be28a09004efaf,False,PASS
6,v2_r_training_00006,bulge_disk,observed,frozen_blended_observation,5caa5e8bd8cdd812487076f5367b5946a8717e72faa10bb7f3fdf98e136f879d,False,PASS
6,v2_r_training_00006,bulge_disk,requested_center_xy,frozen_requested_coordinate_prompt,1626d58defc84a42ddcf609f6d9ebd279306933549daf74247cf5d22a0a127f8,False,PASS
6,v2_r_training_00006,bulge_disk,companion_center_xy,frozen_task_coordinate_contract,914fccdcb11aec60391476be48217fcf61f15f125de318fddb94b8455d46a55a,False,PASS
6,v2_r_training_00006,bulge_disk,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
6,v2_r_training_00006,bulge_disk,noise_sigma,declared_noise_convention,1748829d9c5b5ebcca624b401787458f6cc974535b4ebd25cd323c883a48e856,False,PASS
6,v2_r_training_00006,bulge_disk,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
6,v2_r_training_00006,bulge_disk,structural_family_and_bounds,frozen_level_4_or_5_support,352c7cea179dd13af4746c708edba0981aba90562608c6b15b5f318cc5597257,False,PASS
6,v2_r_training_00006,bulge_disk,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,a215cf29ceaf1f1a2570af4bfa77cf6a6c4af709f8bdd17b15be28a09004efaf,False,PASS
18,v2_r_training_00018,sersic,observed,frozen_blended_observation,bcf66ed7eadb1c8c9fde8ee5daab6cc4ea08de074ca0afc0129cce4bd3514604,False,PASS
18,v2_r_training_00018,sersic,requested_center_xy,frozen_requested_coordinate_prompt,d5d1a9b036a400c94a590075ace1a2de48dae583be2439d289f8b1b172177ba2,False,PASS
18,v2_r_training_00018,sersic,companion_center_xy,frozen_task_coordinate_contract,8880a167592586434035f18125cc4dfba08b1a398229f481365643c8d3621e8f,False,PASS
18,v2_r_training_00018,sersic,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
18,v2_r_training_00018,sersic,noise_sigma,declared_noise_convention,cd0ad106568c94d34e0ce7a2fdb14b22e3919e77ebb230d314fdcab50f887e02,False,PASS
18,v2_r_training_00018,sersic,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
18,v2_r_training_00018,sersic,structural_family_and_bounds,frozen_level_4_or_5_support,0368b80bf97733fdb79396fe42307b5850da983ebfc7e2b1f8dbe96ceb361ac9,False,PASS
18,v2_r_training_00018,sersic,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,8d49c8b5af8af483585792729c0f1b0f807ed9208884a587e78b1f166c9ad318,False,PASS
18,v2_r_training_00018,bulge_disk,observed,frozen_blended_observation,bcf66ed7eadb1c8c9fde8ee5daab6cc4ea08de074ca0afc0129cce4bd3514604,False,PASS
18,v2_r_training_00018,bulge_disk,requested_center_xy,frozen_requested_coordinate_prompt,d5d1a9b036a400c94a590075ace1a2de48dae583be2439d289f8b1b172177ba2,False,PASS
18,v2_r_training_00018,bulge_disk,companion_center_xy,frozen_task_coordinate_contract,8880a167592586434035f18125cc4dfba08b1a398229f481365643c8d3621e8f,False,PASS
18,v2_r_training_00018,bulge_disk,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
18,v2_r_training_00018,bulge_disk,noise_sigma,declared_noise_convention,cd0ad106568c94d34e0ce7a2fdb14b22e3919e77ebb230d314fdcab50f887e02,False,PASS
18,v2_r_training_00018,bulge_disk,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
18,v2_r_training_00018,bulge_disk,structural_family_and_bounds,frozen_level_4_or_5_support,352c7cea179dd13af4746c708edba0981aba90562608c6b15b5f318cc5597257,False,PASS
18,v2_r_training_00018,bulge_disk,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,8d49c8b5af8af483585792729c0f1b0f807ed9208884a587e78b1f166c9ad318,False,PASS
51,v2_r_training_00051,sersic,observed,frozen_blended_observation,0d228217b1a20356be25d9bf536f423e5d3345bd28ae88300938d4bad53389a6,False,PASS
51,v2_r_training_00051,sersic,requested_center_xy,frozen_requested_coordinate_prompt,6c56296d4dd913458602f1056cc3c5f67c2420e6f82ecb0e01ae908bf2ba0a19,False,PASS
51,v2_r_training_00051,sersic,companion_center_xy,frozen_task_coordinate_contract,9176d6623c910643bd7070cdd6bd2d08ba18b9e1edab914e75430a987185d552,False,PASS
51,v2_r_training_00051,sersic,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
51,v2_r_training_00051,sersic,noise_sigma,declared_noise_convention,7239b8334c35df77353b642df0de4a565b08a55211d3f523dbe8cc245b81980b,False,PASS
51,v2_r_training_00051,sersic,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
51,v2_r_training_00051,sersic,structural_family_and_bounds,frozen_level_4_or_5_support,0368b80bf97733fdb79396fe42307b5850da983ebfc7e2b1f8dbe96ceb361ac9,False,PASS
51,v2_r_training_00051,sersic,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,971343d81872e8102c1e9b4f5f66f431abac5cd9529711238e76a55572790849,False,PASS
51,v2_r_training_00051,bulge_disk,observed,frozen_blended_observation,0d228217b1a20356be25d9bf536f423e5d3345bd28ae88300938d4bad53389a6,False,PASS
51,v2_r_training_00051,bulge_disk,requested_center_xy,frozen_requested_coordinate_prompt,6c56296d4dd913458602f1056cc3c5f67c2420e6f82ecb0e01ae908bf2ba0a19,False,PASS
51,v2_r_training_00051,bulge_disk,companion_center_xy,frozen_task_coordinate_contract,9176d6623c910643bd7070cdd6bd2d08ba18b9e1edab914e75430a987185d552,False,PASS
51,v2_r_training_00051,bulge_disk,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
51,v2_r_training_00051,bulge_disk,noise_sigma,declared_noise_convention,7239b8334c35df77353b642df0de4a565b08a55211d3f523dbe8cc245b81980b,False,PASS
51,v2_r_training_00051,bulge_disk,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
51,v2_r_training_00051,bulge_disk,structural_family_and_bounds,frozen_level_4_or_5_support,352c7cea179dd13af4746c708edba0981aba90562608c6b15b5f318cc5597257,False,PASS
51,v2_r_training_00051,bulge_disk,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,971343d81872e8102c1e9b4f5f66f431abac5cd9529711238e76a55572790849,False,PASS
73,v2_r_training_00073,sersic,observed,frozen_blended_observation,6ca37d34198574f4155a99246a31b2c8701fb5d794da9815e54336481ba320f3,False,PASS
73,v2_r_training_00073,sersic,requested_center_xy,frozen_requested_coordinate_prompt,ebafb93b487071527b6af68f69e0138621005327f0bf23244a71112a861b56b6,False,PASS
73,v2_r_training_00073,sersic,companion_center_xy,frozen_task_coordinate_contract,58c9364c3dc2e01be1ad5b280d03687fda5272dd9ada5653c01d6139ac1c9df9,False,PASS
73,v2_r_training_00073,sersic,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
73,v2_r_training_00073,sersic,noise_sigma,declared_noise_convention,1a093d4064e5543bef8a305ac5908b97c55ab26a93da131d3a629e5e729899c7,False,PASS
73,v2_r_training_00073,sersic,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
73,v2_r_training_00073,sersic,structural_family_and_bounds,frozen_level_4_or_5_support,0368b80bf97733fdb79396fe42307b5850da983ebfc7e2b1f8dbe96ceb361ac9,False,PASS
73,v2_r_training_00073,sersic,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,c0e17b122100c3b87fbb9d8064f66b11cf7fa4e65efce2a1f3cab6d57c6726da,False,PASS
73,v2_r_training_00073,bulge_disk,observed,frozen_blended_observation,6ca37d34198574f4155a99246a31b2c8701fb5d794da9815e54336481ba320f3,False,PASS
73,v2_r_training_00073,bulge_disk,requested_center_xy,frozen_requested_coordinate_prompt,ebafb93b487071527b6af68f69e0138621005327f0bf23244a71112a861b56b6,False,PASS
73,v2_r_training_00073,bulge_disk,companion_center_xy,frozen_task_coordinate_contract,58c9364c3dc2e01be1ad5b280d03687fda5272dd9ada5653c01d6139ac1c9df9,False,PASS
73,v2_r_training_00073,bulge_disk,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
73,v2_r_training_00073,bulge_disk,noise_sigma,declared_noise_convention,1a093d4064e5543bef8a305ac5908b97c55ab26a93da131d3a629e5e729899c7,False,PASS
73,v2_r_training_00073,bulge_disk,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
73,v2_r_training_00073,bulge_disk,structural_family_and_bounds,frozen_level_4_or_5_support,352c7cea179dd13af4746c708edba0981aba90562608c6b15b5f318cc5597257,False,PASS
73,v2_r_training_00073,bulge_disk,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,c0e17b122100c3b87fbb9d8064f66b11cf7fa4e65efce2a1f3cab6d57c6726da,False,PASS
81,v2_r_training_00081,sersic,observed,frozen_blended_observation,6464dcedf961c1506e20b80bc4cc9f3631b8f56ca69029002932783a8c50b9d6,False,PASS
81,v2_r_training_00081,sersic,requested_center_xy,frozen_requested_coordinate_prompt,cdc9e2a31ac5bad11cdfa3da552d833b832fa17398f5e5671d909e031b28190a,False,PASS
81,v2_r_training_00081,sersic,companion_center_xy,frozen_task_coordinate_contract,f0fffd30a53995c947e42a8fe4e84f87572d808fd7d58591cc6040215beb97a6,False,PASS
81,v2_r_training_00081,sersic,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
81,v2_r_training_00081,sersic,noise_sigma,declared_noise_convention,57d0e1f236d6ba1a851697b16f9dad260eb60d064ee05bfe879271ab57093d79,False,PASS
81,v2_r_training_00081,sersic,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
81,v2_r_training_00081,sersic,structural_family_and_bounds,frozen_level_4_or_5_support,0368b80bf97733fdb79396fe42307b5850da983ebfc7e2b1f8dbe96ceb361ac9,False,PASS
81,v2_r_training_00081,sersic,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,8cfd730a059c574088ff7cc6d3be618e313b60d0058b8b478aa6a2b172aa407c,False,PASS
81,v2_r_training_00081,bulge_disk,observed,frozen_blended_observation,6464dcedf961c1506e20b80bc4cc9f3631b8f56ca69029002932783a8c50b9d6,False,PASS
81,v2_r_training_00081,bulge_disk,requested_center_xy,frozen_requested_coordinate_prompt,cdc9e2a31ac5bad11cdfa3da552d833b832fa17398f5e5671d909e031b28190a,False,PASS
81,v2_r_training_00081,bulge_disk,companion_center_xy,frozen_task_coordinate_contract,f0fffd30a53995c947e42a8fe4e84f87572d808fd7d58591cc6040215beb97a6,False,PASS
81,v2_r_training_00081,bulge_disk,psf,known_frozen_psf,cf49d9d821e40f67c6709c250cf97e0d165c70574c92da08f0a3d5d02163d5ab,False,PASS
81,v2_r_training_00081,bulge_disk,noise_sigma,declared_noise_convention,57d0e1f236d6ba1a851697b16f9dad260eb60d064ee05bfe879271ab57093d79,False,PASS
81,v2_r_training_00081,bulge_disk,image_geometry,observation_shape_and_known_pixel_scale,1ab81022c2d26dc391d7662872aef78607622bc1752e3c3c640c3c33dcecfa00,False,PASS
81,v2_r_training_00081,bulge_disk,structural_family_and_bounds,frozen_level_4_or_5_support,352c7cea179dd13af4746c708edba0981aba90562608c6b15b5f318cc5597257,False,PASS
81,v2_r_training_00081,bulge_disk,source_flux_support_and_start_scale,nonnegative_unbounded_support_with_observation_noise_initialization_scale,8cfd730a059c574088ff7cc6d3be618e313b60d0058b8b478aa6a2b172aa407c,False,PASS
