suite,method,reconstruction_state,n_total,n_valid_affected,n_valid_core_affected,n_valid_noncore_affected,n_valid_halo,whole_mse,whole_mae,psnr,ssim,per_sample_improvement_ratio_vs_identity_mean,per_sample_improvement_ratio_vs_identity_median,n_valid_pairs_vs_identity,worse_than_identity_count,worse_than_identity_rate,win_count_vs_identity,win_rate_vs_identity,tie_count_vs_identity,tie_rate_vs_identity,channel_value_fraction_clipped_low,channel_value_fraction_clipped_high,pixel_fraction_any_channel_clipped_low,pixel_fraction_any_channel_clipped_high,predicted_residual_abs_mean,predicted_residual_negative_fraction,over_subtraction_fraction,aggregation_primary,mask_definition,evaluation_status,whole_mse_macro,whole_mse_micro,whole_mae_macro,whole_mae_micro,affected_mse_macro,affected_mse_micro,affected_mse,affected_mae_macro,affected_mae_micro,affected_mae,core_affected_mse_macro,core_affected_mse_micro,core_affected_mse,core_affected_mae_macro,core_affected_mae_micro,core_affected_mae,noncore_affected_mse_macro,noncore_affected_mse_micro,noncore_affected_mse,noncore_affected_mae_macro,noncore_affected_mae_micro,noncore_affected_mae,halo_mse_macro,halo_mse_micro,halo_mse,halo_mae_macro,halo_mae_micro,halo_mae,affected_mse_ratio_identity_over_method,improvement_ratio_vs_identity,comparison_role
compact_bright,identity,clipped,1000,1000,999,1000,1000,0.005131373875081479,0.015079246390952303,23.93049769667378,0.9673745480909087,1.0,1.0,1000,0,0.0,0,0.0,1000,1.0,0.0,0.0,0.0,0.0,,,,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.005131373875081479,0.005131373875081479,0.015079246390952303,0.015079246390952303,0.08014691715579923,0.08488607005754427,0.08014691715579923,0.20102470168257675,0.20951970832276964,0.20102470168257675,0.051279288538201774,0.05471625381346485,0.051279288538201774,0.17203356486993596,0.18106196635719812,0.17203356486993596,0.08515619178055395,0.09188984329014489,0.08515619178055395,0.20417758917928494,0.2161260320015835,0.20417758917928494,0.00014739068037264536,0.00014680046808510273,0.00014739068037264536,0.007979558478539981,0.007907182052844151,0.007979558478539981,1.0,1.0,sanity_identity
compact_bright,threshold,clipped,1000,1000,999,1000,1000,0.031139143295408345,0.1472442528241205,15.228284916169155,0.053640478455185304,0.9125268668468197,0.9429095840384286,1000,994,0.994,1,0.001,5,0.005,0.0,0.0,0.0,0.0,,,,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.031139143295408345,0.031139143295408345,0.1472442528241205,0.1472442528241205,0.08690261753816633,0.09210814117912104,0.08690261753816633,0.22471819773606852,0.23454984225309175,0.22471819773606852,0.05128518642821872,0.05472280246437237,0.05128518642821872,0.1720442646071696,0.18107384885053576,0.1720442646071696,0.0933889833258182,0.10078696217238606,0.0933889833258182,0.23336725880229314,0.24696402894052466,0.23336725880229314,0.02749249598018217,0.028072491109721615,0.02749249598018217,0.11887415272572091,0.12031333300936099,0.11887415272572091,0.9222612554863483,0.9222612554863483,sanity_threshold
compact_bright,v02_moderate_old_split,clipped,1000,1000,999,1000,1000,0.0004643883994008,0.0072118021301328,34.210823699513284,0.9803004904810034,14.975911561610967,12.57917463910929,1000,1,0.001,999,0.999,0,0.0,0.007942159016927,0.0005523223876953,0.0230315704345703,0.0015615081787109,0.0139352225738111,0.1026141255696614,0.007942159016927,macro_per_sample,blend_minus_target_independent_of_prediction,diagnostic_old_split_checkpoint_not_final,0.0004643883994008,0.0004643883994008,0.0072118021301328,0.0072118021301328,0.0068207946729218,0.00687550763704,0.0068207946729218,0.0561973944865475,0.056424961382376,0.0561973944865475,0.0093137972287704,0.0097110218976492,0.0093137972287704,0.0686030529799046,0.0707778869001299,0.0686030529799046,0.0061109427886839,0.0062172570624112,0.0061109427886839,0.0526393217231317,0.0530930008978477,0.0526393217231317,0.0005700258482266,0.0005884200591867,0.0005700258482266,0.0154453672239813,0.0156714456764998,0.0154453672239813,11.75037821824162,11.75037821824162,historical_old_split_checkpoint_on_grouped_test
compact_bright,v02_moderate_grouped_retrain,clipped,1000,1000,999,1000,1000,0.0005873517380204548,0.007566808250211242,33.32973928881288,0.9793400455247513,12.597479930075485,9.789654373761213,1000,2,0.002,998,0.998,0,0.0,0.0025309193929036458,0.0012294769287109375,0.00727825927734375,0.003275054931640625,0.013413177104666829,0.5763423004150391,0.0025309193929036458,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.0005873517380204548,0.0005873517380204548,0.007566808250211242,0.007566808250211242,0.00872770763995402,0.008693240287952753,0.00872770763995402,0.06251971427506058,0.062468639992571635,0.06251971427506058,0.01186179881513117,0.012275191667323986,0.01186179881513117,0.07659436072795997,0.07917415578393579,0.07659436072795997,0.007832171104397805,0.007861708037694507,0.007832171104397805,0.058355645909864244,0.05859053734223467,0.058355645909864244,0.0007789846492407131,0.000812126987740821,0.0007789846492407131,0.01710428032445393,0.017279827344754823,0.01710428032445393,9.183043298666393,9.183043298666393,grouped_retrained_candidate
hard_stress,identity,clipped,1000,1000,999,1000,1000,0.00706533700178278,0.02119412471868987,22.695792685605376,0.960018327557407,1.0,1.0,1000,0,0.0,0,0.0,1000,1.0,0.0,0.0,0.0,0.0,,,,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.00706533700178278,0.00706533700178278,0.02119412471868987,0.02119412471868987,0.07253080754217255,0.07930235261602592,0.07253080754217255,0.19942859641771962,0.21131504006195084,0.19942859641771962,0.08089320445002324,0.08361832567463716,0.08089320445002324,0.2315856224290711,0.23769093626521015,0.2315856224290711,0.07026662139807738,0.07851617010019128,0.07026662139807738,0.1916010400419844,0.2065104993123049,0.1916010400419844,0.00015332425234343322,0.00015269613804876279,0.00015332425234343322,0.008833828876167373,0.00870503697679618,0.008833828876167373,1.0,1.0,sanity_identity
hard_stress,threshold,clipped,1000,1000,999,1000,1000,0.031405030483577,0.14886232961869023,15.159384124023322,0.04744390002104352,0.8990971651291293,0.9290478769098519,1000,994,0.994,6,0.006,0,0.0,0.0,0.0,0.0,0.0,,,,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.031405030483577,0.031405030483577,0.14886232961869023,0.14886232961869023,0.07990862508501174,0.08710440222509948,0.07990862508501174,0.2262397959700363,0.23926020712941093,0.2262397959700363,0.08262855455000635,0.08502825444232218,0.08262855455000635,0.2339762492850416,0.2396279931582735,0.2339762492850416,0.07840049963319247,0.08748258602396536,0.07840049963319247,0.222933012286282,0.23919321251625342,0.222933012286282,0.030001515159746,0.030354128708531523,0.030001515159746,0.1394258381139706,0.14001721934114528,0.1394258381139706,0.9076718247249252,0.9076718247249252,sanity_threshold
hard_stress,v02_moderate_old_split,clipped,1000,1000,999,1000,1000,0.0004008840487306,0.0074292924384737,34.793349159655484,0.980941618123283,23.82776304989909,19.509850237472357,1000,1,0.001,999,0.999,0,0.0,0.0082111206054687,0.0003436126708984,0.0237456665039062,0.0009366149902343,0.021444169985596,0.1070179036458333,0.0082111206054687,macro_per_sample,blend_minus_target_independent_of_prediction,diagnostic_old_split_checkpoint_not_final,0.0004008840487306,0.0004008840487306,0.0074292924384737,0.0074292924384737,0.0039960738425206,0.0039718336327369,0.0039960738425206,0.0425430747646131,0.0422064303436491,0.0425430747646131,0.0098949070898605,0.0100334984864414,0.0098949070898605,0.0723657475904853,0.0732162067285285,0.0723657475904853,0.0028609156109084,0.0028676620218128,0.0028609156109084,0.0367205479626427,0.0365577982315712,0.0367205479626427,0.0004926808446473,0.0005150394981589,0.0004926808446473,0.0138779815145705,0.0142306000029479,0.0138779815145705,18.150517332888494,18.150517332888494,historical_old_split_checkpoint_on_grouped_test
hard_stress,v02_moderate_grouped_retrain,clipped,1000,1000,999,1000,1000,0.00045490217313470566,0.007468300039506378,34.40715761225816,0.980402680213115,22.111148486224753,18.11254341093806,1000,3,0.003,997,0.997,0,0.0,0.00271209716796875,0.0008316701253255208,0.00779827880859375,0.002095855712890625,0.02144829693506472,0.5473861236572266,0.00271209716796875,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.00045490217313470566,0.00045490217313470566,0.007468300039506378,0.007468300039506378,0.004589833731135786,0.004565766962960837,0.004589833731135786,0.04497832378341215,0.04459408218043538,0.04497832378341215,0.011507900234282168,0.011670806771685053,0.011507900234282168,0.07686365676276874,0.07778227821137078,0.07686365676276874,0.003239136774308042,0.00327153782944408,0.003239136774308042,0.03867593114307003,0.03854863678555384,0.03867593114307003,0.0006401227681209584,0.000662602521985197,0.0006401227681209584,0.015808688818417474,0.016117226694732645,0.015808688818417474,15.802491286372653,15.802491286372653,grouped_retrained_candidate
high_core_obstruction,identity,clipped,1000,1000,1000,1000,1000,0.008123157736563448,0.023101074625277225,22.175229088733243,0.9561733265536261,1.0,1.0,1000,0,0.0,0,0.0,1000,1.0,0.0,0.0,0.0,0.0,,,,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.008123157736563448,0.008123157736563448,0.023101074625277225,0.023101074625277225,0.07787137726226306,0.087137692812796,0.07787137726226306,0.2082933158732393,0.2226649848569579,0.2082933158732393,0.09803410521848187,0.09889277979542406,0.09803410521848187,0.264108344851333,0.2658334761416898,0.264108344851333,0.07273197015774535,0.08492640442706456,0.07273197015774535,0.19467806881955088,0.21454441683831663,0.19467806881955088,0.00015214313462192102,0.00015147521099884915,0.00015214313462192102,0.008797111579304217,0.008677750353591583,0.008797111579304217,1.0,1.0,sanity_identity
high_core_obstruction,threshold,clipped,1000,1000,1000,1000,1000,0.03209198705854601,0.14975707454458997,15.067996559967009,0.04417518567784073,0.9136159987757769,0.9335791376711806,1000,991,0.991,8,0.008,1,0.001,0.0,0.0,0.0,0.0,,,,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.03209198705854601,0.03209198705854601,0.14975707454458997,0.14975707454458997,0.08439966585755797,0.09402455089909709,0.08439966585755797,0.23319541695434715,0.2488464682887659,0.23319541695434715,0.09909839024950388,0.09989968541225706,0.09909839024950388,0.26554630939698376,0.26719811832628515,0.26554630939698376,0.08023292809898022,0.09291935986709877,0.08023292809898022,0.2243696365996862,0.24539427855618923,0.2243696365996862,0.0288388525264332,0.028888121250289167,0.0288388525264332,0.13945228428017312,0.13968629824393314,0.13945228428017312,0.9226503028304313,0.9226503028304313,sanity_threshold
high_core_obstruction,v02_moderate_old_split,clipped,1000,1000,1000,1000,1000,0.0004334690069762,0.0076491430029842,34.35528542997057,0.9793662958458776,22.984009814215987,18.98802601928952,1000,0,0.0,1000,1.0,0,0.0,0.0087927093505859,0.0002850646972656,0.0254179534912109,0.0007765808105468,0.0231351070743985,0.0994043273925781,0.0087927093505859,macro_per_sample,blend_minus_target_independent_of_prediction,diagnostic_old_split_checkpoint_not_final,0.0004334690069762,0.0004334690069762,0.0076491430029842,0.0076491430029842,0.004225592253223,0.0042051459759154,0.004225592253223,0.0441553093877254,0.0437584176705689,0.0441553093877254,0.010611697864877,0.0106460394791741,0.010611697864877,0.0767072504700946,0.0769011865813351,0.0767072504700946,0.0029437409022952,0.0029935281445427,0.0029437409022952,0.0374947050589792,0.0375238215274979,0.0374947050589792,0.0004016905469849,0.0004167207533113,0.0004016905469849,0.0134376152377821,0.0137583725998063,0.0134376152377821,18.42851193294088,18.42851193294088,historical_old_split_checkpoint_on_grouped_test
high_core_obstruction,v02_moderate_grouped_retrain,clipped,1000,1000,1000,1000,1000,0.0004906860831039278,0.007745283954133404,33.862944289971004,0.97871230236378,21.33796834943913,17.65439096050627,1000,1,0.001,999,0.999,0,0.0,0.0029429372151692705,0.0007120717366536457,0.008456085205078125,0.00180859375,0.023198626775760203,0.5423453267415363,0.0029429372151692705,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.0004906860831039278,0.0004906860831039278,0.007745283954133404,0.007745283954133404,0.004916802837362992,0.004784356215908014,0.004916802837362992,0.04711224337584224,0.04624992755363912,0.04711224337584224,0.012323869207339988,0.012347619408585355,0.012323869207339988,0.08150470096100629,0.081676218736384,0.08150470096100629,0.0033836519135887772,0.0033616057010957194,0.0033836519135887772,0.03994757573742902,0.03958577046507714,0.03994757573742902,0.0005488333145457847,0.0005668223608349999,0.0005488333145457847,0.015315915374933629,0.015598582126802324,0.015315915374933629,15.837807583113804,15.837807583113804,grouped_retrained_candidate
normal,identity,clipped,1000,1000,892,1000,1000,0.006029985421832281,0.020297754061796076,23.55608562403609,0.9617431952899158,1.0,1.0,1000,0,0.0,0,0.0,1000,1.0,0.0,0.0,0.0,0.0,,,,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.006029985421832281,0.006029985421832281,0.020297754061796076,0.020297754061796076,0.06681388820725054,0.07317576677762465,0.06681388820725054,0.18827275024421794,0.19979711720946114,0.18827275024421794,0.024438487084660038,0.04073895298535782,0.024438487084660038,0.10564879473344552,0.1526753727472658,0.10564879473344552,0.06857203397329537,0.07556128481016924,0.06857203397329537,0.1909531288582001,0.20326261699188194,0.1909531288582001,0.0001530327870619763,0.00014801627618320158,0.0001530327870619763,0.009229506912162354,0.009105348170711226,0.009229506912162354,1.0,1.0,sanity_identity
normal,threshold,clipped,1000,1000,892,1000,1000,0.030961736314249783,0.1469905500939439,15.240690081451474,0.05420735357089741,0.9721752654408887,0.9059704921932755,1000,935,0.935,65,0.065,0,0.0,0.0,0.0,0.0,0.0,,,,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.030961736314249783,0.030961736314249783,0.1469905500939439,0.1469905500939439,0.07248402275942337,0.07919564026172977,0.07248402275942337,0.2157026729998139,0.22660549530270765,0.2157026729998139,0.03306288741151399,0.04332447943166058,0.03306288741151399,0.1215052467618091,0.15664420300388304,0.1215052467618091,0.07457265202465757,0.0818337323245463,0.07457265202465757,0.22023856787091073,0.23175069622866168,0.22023856787091073,0.02750905397312018,0.027053211762559877,0.02750905397312018,0.13392594072797848,0.13414283854046954,0.13392594072797848,0.9217740084460796,0.9217740084460796,sanity_threshold
normal,v02_moderate_old_split,clipped,1000,1000,892,1000,1000,0.0002352183619057,0.0074344086051347,37.29063790963021,0.9827507350456104,45.95975678026334,38.87729456418283,1000,0,0.0,1000,1.0,0,0.0,0.0081286519368489,0.0004408365885416,0.0235294799804687,0.0011896209716796,0.0190854614689014,0.1014173329671224,0.0081286519368489,macro_per_sample,blend_minus_target_independent_of_prediction,diagnostic_old_split_checkpoint_not_final,0.0002352183619057,0.0002352183619057,0.0074344086051347,0.0074344086051347,0.0020668523209364,0.0020827867320499,0.0020668523209364,0.0307478773034995,0.0306552964308058,0.0307478773034995,0.0036969623009204,0.0051473678731795,0.0036969623009204,0.0402277941412444,0.0501275552170181,0.0402277941412444,0.0018721487459714,0.0018574065938779,0.0018721487459714,0.0295592199591899,0.0292232376359325,0.0295592199591899,0.0003333383924562,0.0003190893042468,0.0003333383924562,0.0123183314058245,0.0120952934948993,0.0123183314058245,32.32639677757769,32.32639677757769,historical_old_split_checkpoint_on_grouped_test
normal,v02_moderate_grouped_retrain,clipped,1000,1000,892,1000,1000,0.0002607857664150054,0.007591310856287572,36.83364645818016,0.9820770354400224,41.041607367913514,35.50529710529714,1000,0,0.0,1000,1.0,0,0.0,0.0027211964925130203,0.0011615193684895834,0.007836837768554688,0.0027020721435546875,0.018975850287126377,0.5589667053222657,0.0027211964925130203,macro_per_sample,blend_minus_target_independent_of_prediction,grouped_retrain_development_test_not_final,0.0002607857664150054,0.0002607857664150054,0.007591310856287572,0.007591310856287572,0.0023189010687087812,0.0023395285306739228,0.0023189010687087812,0.032607300257547794,0.0325262572375264,0.032607300257547794,0.00497364135453719,0.006197904485010932,0.00497364135453719,0.047549380966178764,0.05521537317359933,0.047549380966178764,0.0020716508485667602,0.002055769913864225,0.0020716508485667602,0.031192438394866587,0.030857619388117753,0.031192438394866587,0.0004356260859008876,0.00041791406545443286,0.0004356260859008876,0.013598559998385199,0.013258109342019066,0.013598559998385199,28.812737683740032,28.812737683740032,grouped_retrained_candidate
