method,initialization,objective_evaluations,gradient_evaluations,auxiliary_jacobian_gradients,accepted_updates,runtime_seconds,initial_objective,final_objective,objective_reduction_fraction,ordinary_own_coverage,ambiguous_own_coverage,ambiguous_alternate_coverage,ambiguous_both_mode_coverage,truth_stationary,path_length,source_allocation_change_l2,total_light_change_l2,assignment_margin_final,projection_clipping_fraction_final,finite
C0_RAW_ADAM,sa_compromise,401,400,0,400,26.694328083,19.09953498840332,15.01481819152832,0.21386472494514241,0.28125,0.8125,0.8125,0.8125,True,21814.80859375,12993.3642578125,10668.8291015625,5.607321262359619,0.0,True
C0_RAW_ADAM,thayer_me_experts,401,400,0,400,26.082355041000003,75.71236419677734,14.25673770904541,0.8116986854090043,0.03125,0.0,0.0,0.0,True,77281.32006835938,20237.734375,82156.5703125,7.1134867668151855,0.0,True
C0_RAW_ADAM,collapsed_means,401,400,0,400,26.822744457999995,11.205763816833496,6.278045654296875,0.43974852969273864,0.09375,0.28125,0.28125,0.25,True,19271.596069335938,7370.25927734375,17798.39453125,0.0,0.0,True
C0_RAW_ADAM,wrong_allocations,401,400,0,400,27.224071291,34.89622116088867,19.09953498840332,0.45267612500662724,0.03125,0.4375,0.4375,0.3125,True,37120.65246582031,18812.99609375,18407.3515625,4.829358100891113,0.0,True
C0_RAW_ADAM,exact_truths,401,400,0,400,26.351264541999996,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,0.0,0.0,0.0,6.483456134796143,0.0,True
C1_RAW_LBFGS,sa_compromise,88,35,0,34,4.237870583000017,19.09953498840332,16.244487762451172,0.14948255167917177,0.3125,0.5625,0.5625,0.375,True,28211.8759765625,14346.625,27475.962890625,5.300676345825195,0.0,True
C1_RAW_LBFGS,thayer_me_experts,211,100,0,99,10.421103625,75.71236419677734,6.59722375869751,0.9128646446497002,0.125,0.84375,0.875,0.75,True,99739.265625,27059.416015625,91873.1953125,6.633139610290527,0.0,True
C1_RAW_LBFGS,collapsed_means,9,1,0,0,0.6014222080000025,11.205763816833496,11.205763816833496,0.0,0.0,0.28125,0.28125,0.25,True,0.0,0.0,0.0,0.0,0.0,True
C1_RAW_LBFGS,wrong_allocations,164,75,0,74,7.959996084000011,34.89622116088867,16.525362014770508,0.5264426500915244,0.09375,0.4375,0.4375,0.125,True,34839.01708984375,18399.666015625,11036.2451171875,5.155688285827637,0.0,True
C1_RAW_LBFGS,exact_truths,1,1,0,0,0.26746929200001546,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,0.0,0.0,0.0,6.483456134796143,0.0,True
C2_TD_ADAM,sa_compromise,401,400,0,400,32.22388133300001,19.09953498840332,12.378217697143555,0.3519099965177557,0.40625,0.71875,0.71875,0.5625,True,130282.65809305571,59096.0625,94826.7109375,5.419126510620117,0.07301359953703704,True
C2_TD_ADAM,thayer_me_experts,401,400,0,400,32.26869979200001,75.71234130859375,25.856250762939453,0.6584935782456824,0.0625,0.0625,0.0,0.0,True,186418.61743179895,59635.11328125,102526.46875,3.396698474884033,0.13914388020833332,True
C2_TD_ADAM,collapsed_means,401,400,0,400,32.275983707999984,11.205763816833496,4.448719501495361,0.602997209809793,0.375,0.28125,0.28125,0.1875,True,42018.65445790952,18071.814453125,33067.7578125,0.0,0.044462890625,True
C2_TD_ADAM,wrong_allocations,401,400,0,400,31.71155408300001,34.89622116088867,13.46345043182373,0.6141860068529876,0.34375,0.71875,0.71875,0.5,True,132346.58544921875,66379.6015625,92923.0859375,5.619348526000977,0.07470377604166667,True
C2_TD_ADAM,exact_truths,401,400,0,400,31.938582957999984,3.360116807016311e-07,2.1342525482177734,-6351720.296596618,0.9375,0.875,0.875,0.8125,False,21462.206373775378,6419.119140625,13433.642578125,5.168038845062256,0.05639720775462963,True
C3_TD_LBFGS,sa_compromise,9,1,0,0,0.6470212919999767,19.09953498840332,19.09953498840332,0.0,0.03125,0.4375,0.4375,0.3125,True,0.017468055710196495,0.008688444271683693,0.0005314543377608061,4.829357624053955,0.0,True
C3_TD_LBFGS,thayer_me_experts,245,121,0,120,12.747458041000016,75.71234130859375,23.93449592590332,0.6838758977436796,0.0,0.3125,0.46875,0.125,True,126573.0456544552,47214.74609375,106310.5859375,5.809563636779785,0.0,True
C3_TD_LBFGS,collapsed_means,76,24,0,23,3.4880319590000113,11.205763816833496,11.190532684326172,0.001359223053090209,0.0,0.28125,0.28125,0.25,True,48.13415251439437,30.338756561279297,30.76627540588379,0.0,0.0,True
C3_TD_LBFGS,wrong_allocations,160,49,0,48,6.896433290999994,34.89622116088867,20.497251510620117,0.4126226041462269,0.09375,0.46875,0.46875,0.3125,True,16724.160278320312,9227.7978515625,5196.51025390625,4.933197021484375,0.0,True
C3_TD_LBFGS,exact_truths,9,1,0,0,0.6315875000000233,3.360116807016311e-07,3.360116807016311e-07,0.0,1.0,1.0,1.0,1.0,True,0.013472164049744606,0.0012344360584393144,0.00027617262094281614,6.483455657958984,0.0,True
C4_ALTERNATING_TD,sa_compromise,401,400,0,400,31.597054000000014,19.09953498840332,13.500720977783203,0.29313876039492864,0.25,0.5,0.5,0.25,True,97769.48127420805,44086.46484375,65000.12109375,5.297097682952881,0.06872576678240741,True
C4_ALTERNATING_TD,thayer_me_experts,401,400,0,400,31.673287249999987,75.71234130859375,30.429487228393555,0.5980907907157845,0.03125,0.0,0.0,0.0,True,175817.4107667599,59842.92578125,97576.6875,3.415127992630005,0.10661277488425926,True
C4_ALTERNATING_TD,collapsed_means,401,400,0,400,31.760002875000055,11.205763816833496,5.141996383666992,0.5411293270394835,0.4375,0.21875,0.21875,0.0625,True,47394.39872060483,17317.47265625,31638.3046875,0.0,0.05675166377314815,True
C4_ALTERNATING_TD,wrong_allocations,401,400,0,400,32.00788270800001,34.89622116088867,14.575908660888672,0.5823069611552898,0.25,0.34375,0.34375,0.0625,True,99970.34405517578,50571.06640625,60168.77734375,5.818169116973877,0.08526403356481481,True
C4_ALTERNATING_TD,exact_truths,401,400,0,400,32.44300637499998,3.360116807016311e-07,3.3945693969726562,-10102532.905620197,0.8125,0.34375,0.34375,0.125,False,26007.03248461522,6092.6787109375,12504.517578125,5.947563171386719,0.068203125,True
C5_JACOBIAN_PRECONDITIONED_TD,sa_compromise,401,400,400,400,58.890156500000046,19.09953498840332,11.950335502624512,0.3743127510758557,0.40625,0.71875,0.71875,0.5625,True,101771.50404032134,47968.875,62109.3515625,5.185905456542969,0.09805483217592592,True
C5_JACOBIAN_PRECONDITIONED_TD,thayer_me_experts,401,400,400,400,56.07819287500001,75.71234130859375,31.250076293945312,0.5872525435902975,0.03125,0.0,0.0,0.0,True,184694.15551773645,55879.6015625,98175.59375,3.700634717941284,0.14010308159722223,True
C5_JACOBIAN_PRECONDITIONED_TD,collapsed_means,401,400,400,400,59.73682270900008,11.205763816833496,3.765098810195923,0.6640033761429163,0.28125,0.5625,0.5625,0.375,True,26833.293740136083,10682.517578125,18928.7890625,5.056907653808594,0.04738136574074074,True
C5_JACOBIAN_PRECONDITIONED_TD,wrong_allocations,401,400,400,400,59.199530708,34.89622116088867,13.555562019348145,0.6115464205465009,0.28125,0.625,0.625,0.375,True,93445.76391601562,48485.18359375,57061.1640625,5.336009502410889,0.09328920717592593,True
C5_JACOBIAN_PRECONDITIONED_TD,exact_truths,401,400,400,400,57.18576120899991,3.360116807016311e-07,1.3716779947280884,-4082232.0695881364,0.96875,0.90625,0.90625,0.8125,False,15028.915999019518,1654.912109375,3661.450439453125,5.498560905456543,0.15486400462962963,True
