scene_index,scene_id,condition,source_identity,measurement_band,combination_weights_g_r_z,measured_flux_electrons,sigma_electrons,relative_sigma,frozen_noise_z,measurement_seed,catalog_sha256,latent_catalog_value_persisted,measurement_source
0,v2_r_training_00000,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",616648.7528306597,29734.600000000002,0.05,0.7384243551505555,2026071805,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",48717.49975186511,2535.55,0.05,-0.7862200501409534,2026071805,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",51589.88432113856,2520.65,0.05,0.4668971579309145,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",298836.8719263018,14390.650000000001,0.05,0.7660440582115324,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",236343.07127201455,12823.300000000001,0.05,-1.5692472864227969,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",2626.5176576825015,133.05,0.05,-0.2591683000187798,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",17256.62632603312,925.75,0.05,-1.3593018352329236,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",29548.79996767283,1476.75,0.05,0.009344823208280301,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",162809.10677881315,7461.5,0.05,1.8198896708186236,2026072405,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",114342.13911918436,5861.05,0.05,-0.4911851768566445,2026072405,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",22724.275699894864,1201.9,0.05,-1.0930396040478694,2026072406,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",55718.95867556095,2824.6000000000004,0.05,-0.2736816980949699,2026072406,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",68728.87679415142,3435.0,0.05,0.008406635851943045,2026072406,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",25521.70267994762,1340.15,0.05,-0.9560850054489293,2026072406,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",54907.525988537855,2512.8,0.05,1.8511325965209549,2026072406,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",40710.81034195527,2008.1000000000001,0.05,0.27329831281075156,2026072406,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
3,v2_r_training_00003,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",28735.63862794283,1450.8500000000001,0.05,-0.19392864324855763,2026072105,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
3,v2_r_training_00003,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",330463.2602668179,15688.95,0.05,1.0634402089889954,2026072105,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
3,v2_r_training_00003,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",3676.4346316706055,177.85000000000002,0.05,0.6715469871836122,2026072106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
3,v2_r_training_00003,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",15780.701225710436,759.35,0.05,0.781854514664432,2026072106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
3,v2_r_training_00003,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",9770.208325040729,513.65,0.05,-0.9788604593775377,2026072106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
3,v2_r_training_00003,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",18777.23909854645,980.7,0.05,-0.8532282058259906,2026072106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
3,v2_r_training_00003,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",146082.46074491175,6995.700000000001,0.05,0.8817503244724247,2026072106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
3,v2_r_training_00003,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",163539.1157355234,7712.55,0.05,1.2042859670956285,2026072106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
5,v2_r_training_00005,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",16217.530885508877,823.0,0.05,-0.2946161779965054,2026072305,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
5,v2_r_training_00005,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",20641.970237803547,1003.1500000000001,0.05,0.5771522083472546,2026072305,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
5,v2_r_training_00005,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",4675.082943967819,233.60000000000002,0.05,0.013197534108814604,2026072306,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
5,v2_r_training_00005,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",6965.939903671255,365.40000000000003,0.05,-0.9361250583709506,2026072306,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
5,v2_r_training_00005,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",3944.769552545108,224.0,0.05,-2.3894216404236235,2026072306,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
5,v2_r_training_00005,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",2660.5817487888294,137.5,0.05,-0.6503145542630591,2026072306,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
5,v2_r_training_00005,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",8955.218265645048,429.25,0.05,0.8624770312057006,2026072306,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
5,v2_r_training_00005,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",8066.9282480537595,436.40000000000003,0.05,-1.5148298623882692,2026072306,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
18,v2_r_training_00018,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",35104.999675303974,1758.15,0.05,-0.03298940630550652,2026073605,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
18,v2_r_training_00018,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",12646.741209227539,610.5,0.05,0.7153828160975263,2026073605,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
18,v2_r_training_00018,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",1710.8648496763396,85.80000000000001,0.05,-0.05985023687249888,2026073606,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
18,v2_r_training_00018,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",12428.481097955104,579.1,0.05,1.4617183525385995,2026073606,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
18,v2_r_training_00018,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",21040.56564738295,1093.25,0.05,-0.7541132884674572,2026073606,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
18,v2_r_training_00018,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",4350.0611622990555,199.20000000000002,0.05,1.8376564372442554,2026073606,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
18,v2_r_training_00018,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",6143.7965124442235,305.65000000000003,0.05,0.1007574429714484,2026073606,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
18,v2_r_training_00018,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",2196.299078455941,105.65,0.05,0.7884437146799906,2026073606,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
51,v2_r_training_00051,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",43130.51490077228,2079.2000000000003,0.05,0.7438028572394584,2026076905,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
51,v2_r_training_00051,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",39382.043731337886,1937.9,0.05,0.32202060546874767,2026076905,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
51,v2_r_training_00051,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",11945.342321877873,564.85,0.05,1.147813263482117,2026076906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
51,v2_r_training_00051,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",18331.855038263246,1049.6000000000001,0.05,-2.534436891898586,2026076906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
51,v2_r_training_00051,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",9569.447438677777,464.75,0.05,0.5905270331958622,2026076906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
51,v2_r_training_00051,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",10070.637719986064,498.6,0.05,0.19782936218624758,2026076906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
51,v2_r_training_00051,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",19629.143575335205,909.4000000000001,0.05,1.58471912836508,2026076906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
51,v2_r_training_00051,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",10750.040917015864,529.9,0.05,0.28692379131130974,2026076906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",105530.21828826026,5458.900000000001,0.05,-0.6682265129860833,2026079105,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",74520.59422341647,3406.9500000000003,0.05,1.873110619004232,2026079105,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",16691.17669535462,839.0,0.05,-0.10586806274777187,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",40563.42985074554,2078.25,0.05,-0.4819295798168944,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",45940.27038091559,2541.65,0.05,-1.9250209978102457,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",17473.60565468968,878.4000000000001,0.05,-0.10746168637331452,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",31287.695440740685,1733.65,0.05,-1.9527035787265685,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
73,v2_r_training_00073,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",16055.563124001063,794.9000000000001,0.05,0.19821754183049847,2026079106,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",1238091.6888784177,57967.05,0.05,1.3585422904635953,2026079905,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",1285892.9202905823,64922.0,0.05,-0.19326391222416966,2026079905,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",190097.79198232532,8547.1,0.05,2.2412036810526748,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",451952.01844425424,22613.15,0.05,-0.013752243970689238,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",531018.2642535674,26806.800000000003,0.05,-0.19091184872616343,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",131274.5316352563,6650.450000000001,0.05,-0.26080466205199704,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",484021.1244195139,23377.75,0.05,0.7043502655094657,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
81,v2_r_training_00081,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",759960.1251994598,34893.8,0.05,1.779230843286194,2026079906,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,scene_stratification_extension
